N_types_of_goods,M_shelves,Max_coordinate,Maximum capacity in each shelf,Minimum_distance,Real_running_time,Number_of_nodes,Paths
20,10,10,100,38,0.077738762,12, 0->8->1->9->2->7->4->6->5->3->10->0
100,50,10,100,62,3.792505741,52,0->25->17->14->34->6->32->50->1->3->16->37->4->13->29->43->15->11->49->45->33->18->24->30->2->47->19->41->27->10->42->35->36->39->26->23->31->21->22->5->48->9->8->46->38->44->20->7->40->28->12->0
200,100,10,100,80,21.09461188,102,0->12->1->19->88->89->49->42->41->77->69->71->95->25->81->44->92->78->68->76->60->74->30->55->40->54->21->11->90->13->29->34->43->47->82->70->4->65->20->27->17->46->58->66->2->16->38->48->52->24->36->9->80->93->8->18->31->79->83->23->86->87->94->37->45->56->10->100->28->59->35->50->85->61->51->96->72->73->5->39->7->84->64->75->97->62->14->67->91->15->99->57->32->63->98->3->22->6->26->53->33->0
400,200,10,100,96,144.9656405,202,0->175->163->13->34->36->54->129->7->90->114->176->134->104->191->2->87->63->80->46->69->88->28->193->158->76->45->161->21->111->183->10->113->135->74->152->187->66->18->41->199->35->185->184->50->53->186->149->31->144->57->173->107->170->97->15->65->189->101->43->128->174->125->23->133->91->37->77->92->127->51->98->162->85->139->44->155->123->33->116->136->179->105->154->6->165->24->119->73->122->143->42->3->115->49->48->70->25->147->14->167->110->156->142->182->112->64->131->9->178->47->121->40->106->100->30->4->99->20->169->62->27->166->151->60->157->79->177->86->132->83->89->8->180->196->194->117->103->96->146->109->198->39->52->67->137->159->141->148->82->59->68->11->94->102->29->168->130->17->197->195->22->56->171->84->164->32->81->12->172->124->160->120->190->126->118->108->140->5->153->61->26->16->145->192->72->78->58->75->95->93->181->71->200->19->188->55->38->150->1->138->0
1000,500,10,100,CAN'T,CAN'T,CAN'T,CAN'T
2000,1000,10,100,CAN'T,CAN'T,CAN'T,CAN'T
4000,2000,10,100,CAN'T,CAN'T,CAN'T,CAN'T
